,id,uid,x,y,rw,rh,iw,ih,size,imgpath,orig_y,prev_rec_y,chg_in_y
0,ct1_826,826,776,160.0,6,26,42,10,156,./img/img_ct1_826.jpg,160,,
0,ct1_825,825,496,228.0,371,98,98,375,36358,./img/img_ct1_825.jpg,228,160.0,68.0
0,ct1_824,824,537,255.0,48,29,31,52,1392,./img/img_ct1_824.jpg,255,228.0,27.0
0,ct1_823,823,861,255.0,88,72,74,92,6336,./img/img_ct1_823.jpg,256,255.0,0.0
0,ct1_679,679,610,265.0,34,29,31,38,986,./img/img_ct1_679.jpg,265,255.0,10.0
0,ct1_680,680,612,265.0,31,24,26,35,744,./img/img_ct1_680.jpg,267,265.0,0.0
0,ct1_821,821,726,265.0,29,15,17,33,435,./img/img_ct1_821.jpg,269,265.0,0.0
0,ct1_820,820,829,277.0,34,23,25,38,782,./img/img_ct1_820.jpg,279,265.0,12.0
0,ct1_676,676,893,277.0,33,30,32,37,990,./img/img_ct1_676.jpg,277,277.0,0.0
0,ct1_677,677,895,277.0,29,24,26,33,696,./img/img_ct1_677.jpg,280,277.0,0.0
0,ct1_817,817,498,321.0,143,10,10,147,1430,./img/img_ct1_817.jpg,321,277.0,44.0
0,ct1_816,816,642,321.0,272,42,42,276,11424,./img/img_ct1_816.jpg,323,321.0,0.0
0,ct1_810,810,498,331.0,145,10,10,149,1450,./img/img_ct1_810.jpg,332,321.0,10.0
0,ct1_675,675,746,331.0,15,12,14,19,180,./img/img_ct1_675.jpg,334,331.0,0.0
0,ct1_811,811,912,331.0,32,30,32,36,960,./img/img_ct1_811.jpg,331,331.0,0.0
0,ct1_807,807,498,343.0,149,9,9,153,1341,./img/img_ct1_807.jpg,343,331.0,12.0
0,ct1_674,674,821,343.0,16,12,14,20,192,./img/img_ct1_674.jpg,345,343.0,0.0
0,ct1_665,665,580,417.0,122,27,27,126,3294,./img/img_ct1_665.jpg,417,343.0,74.0
0,ct1_663,663,797,427.0,57,25,25,61,1425,./img/img_ct1_663.jpg,427,417.0,10.0
